ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"192.227.138.235","elite","AS36352","US","HostPapa","108","RackNerd LLC","3128","socks4","2","100","1121","1123","2024-11-27T19:51:06.259Z","3087"
"36.89.183.77","elite","AS7713","ID","PT. Telekomunikasi Indonesia","246","Telekomunikasi Indonesia","31802","socks4","1","98","8312","8495","2024-11-27T19:51:06.258Z","394"
"116.106.107.76","elite","AS24086","VN","Viettel Corporation","215","Viettel Group","1080","socks4","1","96","1484","1547","2024-11-27T19:51:05.666Z","1500"
"118.174.14.65","elite","AS131293","TH","TOT Public Company Limited","289","TOT Public Company Limited","44336","socks4","1","89","1577","1772","2024-11-27T19:51:05.960Z","3684"
"95.174.71.144","elite","AS8849","US","Melbikomas UAB","198","Melbicom","40254","socks4","1","99","1729","1744","2024-11-27T19:51:05.763Z","3296"
"200.29.176.172","elite","AS6429","CL","Telmex Chile Internet S.A.","218","Telmex Servicios Empresariales S.A","4145","socks4","1","100","8496","8535","2024-11-27T19:51:05.959Z","1994"
"51.158.72.165","elite","AS12876","FR","SCALEWAY","2","ONLINE","16379","socks4","1","72","1291","1781","2024-11-27T19:51:05.956Z","5216"
"110.77.184.128","elite","AS131090","TH","CAT Telecom Public Company Limited","289","CAT BB","4145","socks4","1","91","1428","1567","2024-11-27T19:51:05.770Z","4893"
"202.159.35.25","elite","AS9340","ID","PT IndoInternet","173","N/A","443","socks4","1","98","8338","8497","2024-11-27T19:51:05.763Z","589"
"203.161.32.242","elite","AS22612","US","Namecheap, Inc.","135","Namecheap, Inc","50640","socks4","1","90","1586","1769","2024-11-27T19:51:05.756Z","5187"
"67.180.167.174","elite","AS33651","US","Comcast Cable Communications, LLC","160","Comcast Cable Communications, Inc","8080","socks4","1","86","7312","8494","2024-11-27T19:51:05.957Z","73"
"104.22.50.220","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks4","1","100","8460","8461","2024-11-27T19:51:05.772Z","2105"
"139.99.90.50","elite","AS16276","SG","OVH SAS","168","OVH Singapore PTE. LTD","10981","socks5","1","43","3614","8457","2024-11-27T19:51:05.766Z","1313"
"75.119.205.50","elite","AS26347","US","New Dream Network, LLC","181","New Dream Network, LLC","51833","socks5","1","69","5732","8363","2024-11-27T19:51:05.759Z","2998"
"31.204.28.96","elite","AS209372","US","SIA \"Singularity Telecom\"","72","Popov Andry Vasilievich","5432","socks4","1","99","8297","8382","2024-11-27T19:51:05.760Z","2401"
"179.124.136.135","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","204","Ceritell SM","1080","socks4","1","99","1737","1748","2024-11-27T19:51:05.863Z","1795"
"95.182.78.6","elite","AS50648","UA","PE UAinet","95","PE UAinet","5678","socks4","81","100","8472","8503","2024-11-27T19:51:05.771Z","756"
"116.203.58.26","elite","AS24940","DE","Hetzner Online GmbH","18","Hetzner","9050","socks4","1","99","1191","1199","2024-11-27T19:51:05.758Z","4712"
"170.106.171.17","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","146","Tencent Cloud Computing","11333","socks4","2","43","547","1274","2024-11-27T19:51:05.857Z","2598"
"43.128.40.142","elite","AS132203","HK","Aceville Pte.ltd","297","N/A","65533","socks5","1","100","8366","8392","2024-11-27T19:51:05.769Z","1799"
"152.170.68.57","elite","N/A","AR","Telecom Argentina S.A","238","N/A","33333","socks4","1","95","1667","1752","2024-11-27T19:51:05.958Z","294"
"203.30.189.85","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks4","1","100","8515","8515","2024-11-27T19:51:05.862Z","2504"
"177.38.245.109","elite","AS52974","BR","Henet Telecomunicacoes Ltda","218","Ricardo Dias Monteiro","55713","socks4","1","11","190","1772","2024-11-27T19:51:05.764Z","4192"
"104.19.79.238","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1","100","8378","8381","2024-11-27T19:51:05.954Z","3091"
"172.247.149.170","elite","AS40065","US","Cnservers LLC","141","CloudRadium L.L.C","53110","socks5","1","65","5522","8483","2024-11-27T19:50:52.760Z","4111"
"166.62.122.168","elite","AS398101","US","GoDaddy.com, LLC","138","GoDaddy.com, LLC","40546","socks4","1","100","1656","1656","2024-11-27T19:50:52.555Z","2989"
"203.143.38.249","elite","AS5087","LK","Lanka Communication Services (Pvt) Ltd.","173","Lanka Communication Services (Pvt) Ltd","8080","socks4","1","97","8221","8467","2024-11-27T19:50:52.759Z","1405"
"179.189.196.52","elite","AS52626","BR","NovaNet Provedor e Web Ltda","252","NovaNet Provedor e Web Ltda","5678","socks4","1","56","4752","8494","2024-11-27T19:50:52.558Z","707"
"104.255.170.65","elite","AS397373","US","H4Y Technologies LLC","152","N/A","53623","socks5","1","100","8569","8575","2024-11-27T19:50:52.658Z","3387"
"45.79.189.110","elite","AS63949","US","Akamai Technologies, Inc.","76","Linode","47498","socks4","1","100","1579","1579","2024-11-27T19:50:52.757Z","1702"
"177.37.240.52","elite","AS28126","BR","Brisanet Servicos De Telecomunicacoes Ltda","144","Brisanet Servicos De Telecomunicacoes S.A","8080","socks4","2","100","226","226","2024-11-27T19:50:52.655Z","2889"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","35","Dieffeitalia.it S.r.l","21023","socks5","1","99","8268","8384","2024-11-27T19:50:52.656Z","1291"
"181.78.13.94","elite","AS52468","CO","IFX Networks Argentina S.R.L","199","UFINET COLOMBIA, S. A","5678","socks4","1","99","8416","8534","2024-11-27T19:50:52.559Z","5107"
"159.192.240.218","elite","AS131090","TH","CAT-BB","235","N/A","4145","socks4","1","25","360","1434","2024-11-27T19:50:52.556Z","1488"
"163.172.48.119","elite","AS12876","FR","Online S.A.S.","1","ONLINE","15016","socks4","1","100","948","948","2024-11-27T19:50:52.455Z","2282"
"188.165.237.26","elite","AS16276","FR","OVH SAS","5","OVH ISP","52982","socks4","1","100","1726","1726","2024-11-27T19:50:52.557Z","1395"
"67.43.227.230","elite","N/A","CA","GloboTech Communications","89","N/A","25969","http","42497","100","79","79","2024-11-27T19:50:52.456Z","582"
"168.227.158.21","elite","AS52898","BR","Multipla Serviços Inteligentes","217","Multipla Serviços Inteligentes","4145","socks4","1","99","8278","8366","2024-11-27T19:50:51.769Z","456"
"180.178.104.109","elite","AS38758","ID","PT Hipernet Indodata","194","N/A","5678","socks4","1","95","1653","1745","2024-11-27T19:50:51.856Z","4605"
"192.81.225.9","elite","AS32678","CA","Fidalia Networks Inc","100","DSA Consultants","33140","socks4","1","99","8460","8514","2024-11-27T19:50:51.961Z","1811"
"108.175.24.1","elite","AS33258","US","Computer Solutions","110","Computer Solutions","13135","socks4","1","100","1756","1761","2024-11-27T19:50:51.770Z","4509"
"116.96.165.123","elite","AS7552","VN","Viettel Corporation","233","Viettel Group","1080","socks4","1","77","1253","1619","2024-11-27T19:50:51.870Z","4802"
"168.205.218.26","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","288","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","1","84","7077","8413","2024-11-27T19:50:51.956Z","508"
"103.224.48.41","elite","N/A","IN","R TECHNOLOGIES","144","N/A","31433","socks4","1","98","1634","1659","2024-11-27T19:50:51.864Z","3904"
"103.224.54.233","elite","AS134922","IN","R TECHNOLOGIES","193","Renu Softtech Sales and Services","31433","socks4","81","99","1651","1674","2024-11-27T19:50:51.859Z","382"
"43.135.160.152","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks5","81","80","6732","8395","2024-11-27T19:50:51.961Z","5104"
"155.133.83.253","elite","AS136787","DE","PacketHub S.A.","13","Packethub S.A","58351","socks4","1","56","4771","8487","2024-11-27T19:50:51.858Z","814"
"197.234.13.25","elite","AS36902","SC","Intelvision","118","Intelvision Ltd","4145","socks4","1","100","8410","8452","2024-11-27T19:50:51.872Z","3730"
"131.161.238.14","elite","AS263687","AR","Tucuman BBS S.R.L.","245","Tucuman BBS S.R.L","51327","socks4","1","100","1154","1159","2024-11-27T19:50:51.960Z","1204"
"186.97.236.242","elite","AS27831","CO","Colombia Móvil","194","Colombia Móvil","5678","socks4","1","59","4951","8430","2024-11-27T19:50:51.959Z","4196"
"152.32.215.158","elite","AS135377","HK","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","191","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","62235","socks5","85","59","5030","8458","2024-11-27T19:50:51.865Z","4290"
"221.211.62.4","elite","AS4837","CN","CHINA UNICOM China169 Backbone","292","Jgdq Majestic Netbar","1111","socks5","81","92","7745","8426","2024-11-27T19:50:51.953Z","4298"
"103.104.177.227","elite","AS136866","ID","Institut Seni Indonesia Surakarta","205","institut Seni Indonesia Surakarta, University","59463","socks5","1","2","158","8438","2024-11-27T19:50:09.072Z","678"
"103.199.97.129","elite","AS132765","IN","NEWSHIVAMCABLE","198","N/A","39825","socks4","1","95","7998","8461","2024-11-27T19:50:09.071Z","4391"
"167.86.102.169","elite","AS51167","DE","Contabo GmbH","80","Contabo GmbH","51038","socks4","1","100","1768","1771","2024-11-27T19:50:09.155Z","4999"
"131.221.64.152","elite","AS265798","AR","Level Seven SRL","251","Level Seven SRL","2350","socks4","1","91","7510","8256","2024-11-27T19:50:09.072Z","2001"
"5.189.133.192","elite","AS51167","DE","Contabo GmbH","24","Contabo GmbH","50893","socks5","1","100","8451","8467","2024-11-27T19:50:09.154Z","65"
"36.93.138.74","elite","AS7713","ID","Telekomunikasi Indonesia","289","HSI Indihome","5678","socks4","1","97","1681","1737","2024-11-27T19:50:09.073Z","2610"
"197.234.13.4","elite","AS36902","SC","Intelvision","198","Intelvision Ltd","4145","socks4","2","99","8321","8366","2024-11-27T19:50:08.962Z","75"
"103.59.190.2","elite","AS58678","IN","Flash Broadband Pvt Ltd","190","Flash Broadband Pvt Ltd","56252","socks4","1","100","1769","1775","2024-11-27T19:50:08.959Z","2605"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","191","N/A","4145","socks4","1","97","8266","8513","2024-11-27T19:50:08.961Z","1902"
"195.225.49.134","elite","AS51357","UA","INETIN","42","Freenet Ltd.","55774","socks4","1","99","8420","8477","2024-11-27T19:50:08.967Z","4503"
"116.106.104.148","elite","AS24086","VN","Viettel Corporation","287","Viettel Group","1080","socks4","1","47","748","1583","2024-11-27T19:50:08.958Z","3499"
"116.109.68.216","elite","AS7552","VN","Viettel Corporation","207","Viettel Group","1080","socks4","1","76","6313","8311","2024-11-27T19:49:27.368Z","1099"
"172.67.206.105","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1","100","8429","8432","2024-11-27T19:49:27.466Z","644"
"185.121.138.59","elite","AS25369","GB","Hydra Communications Ltd","15","Hydra Communications Ltd","80","socks4","1","100","8323","8324","2024-11-27T19:49:27.471Z","1594"
"222.129.37.88","elite","AS4808","CN","China Unicom Beijing Province Network","163","N/A","57114","socks4","1","75","6270","8367","2024-11-27T19:49:27.761Z","4101"
"168.138.174.23","elite","AS31898","SG","Oracle Corporation","149","Oracle Public Cloud","10001","socks4","1","84","7086","8448","2024-11-27T19:49:27.461Z","466"
"88.198.107.107","elite","AS24940","DE","Hetzner Online GmbH","81","Hetzner Online GmbH","55152","socks4","1","100","1707","1707","2024-11-27T19:49:27.760Z","1495"
"184.82.142.18","elite","AS133481","TH","AIS-Fibre","189","N/A","4145","socks4","1","97","8243","8508","2024-11-27T19:49:27.470Z","1693"
"188.92.242.99","elite","AS25227","RU","JSC Avantel","51","Avantel, Close Joint Stock Company","8088","socks5","1","100","8469","8492","2024-11-27T19:49:27.762Z","1095"
"195.58.174.118","elite","AS8412","AT","Magenta Telekom","31","Liberty Global B.V.","3128","socks5","1","100","1576","1580","2024-11-27T19:49:27.361Z","2692"
"86.110.189.154","elite","AS15774","RU","Rostov-On-Don Network","72","ZAO Electro-Com Don P2P Customers","4145","socks4","2","99","1588","1601","2024-11-27T19:49:27.459Z","1910"
"104.17.66.69","elite","AS13335","US","American Registry Internet Numbers","2","American Registry Internet Numbers","80","socks4","2","100","8464","8465","2024-11-27T19:49:27.472Z","710"
"95.42.55.92","elite","AS8866","BG","BTC-BROADBAND","81","BTC Plc","4145","socks4","1","91","7615","8398","2024-11-27T19:49:27.465Z","2393"
"202.189.11.149","transparent","AS139180","CN","Shandong eshinton Network Technology Co., Ltd.","282","Shandong eshinton Network Technology Co., Ltd.","8123","http","41409","99","132","133","2024-11-27T19:49:27.367Z","648"
"106.14.241.115","elite","N/A","CN","Hangzhou Alibaba Advertising Co","173","N/A","80","socks4","1","99","183","185","2024-11-27T19:49:27.372Z","5486"
"45.7.176.78","elite","AS266626","BR","Litoral Telecom","190","Litoral Telecom","52246","socks4","1","99","8354","8471","2024-11-27T19:49:27.461Z","1592"
"103.79.96.177","elite","AS64308","ID","PT IndoDev Niaga Internet","181","PT IndoDev Niaga Internet","4153","socks4","81","99","8350","8409","2024-11-27T19:49:27.468Z","784"
"185.169.181.17","elite","AS34984","TR","Ates Dc","54","Ibrahim MALA trading as Ates Dc","4145","socks4","1","100","8443","8470","2024-11-27T19:49:27.759Z","1505"
"187.95.82.109","elite","AS262696","BR","Turbonet Telecomunicações","199","Turbonet Telecomunicações","3629","socks4","1","99","8409","8499","2024-11-27T19:49:27.458Z","3614"
"148.72.206.84","elite","AS26496","JP","GoDaddy.com, LLC","165","GoDaddy.com, LLC","22949","socks4","1","100","1273","1277","2024-11-27T19:49:27.758Z","350"
"51.79.78.212","elite","AS16276","CA","OVH SAS","92","OVH Hosting, Inc.","35055","socks4","1","85","7104","8389","2024-11-27T19:49:27.372Z","5112"
"182.253.154.72","elite","AS17451","ID","BIZNET","165","N/A","4145","socks4","1","90","7645","8475","2024-11-27T19:49:27.370Z","71"
"185.66.59.201","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","27","Svint","42647","socks4","1","33","2747","8440","2024-11-27T19:49:09.261Z","809"
"82.136.54.88","elite","AS2856","GB","British Telecommunications PLC","14","Btnet LHL","30755","socks4","1","98","1624","1649","2024-11-27T19:49:09.171Z","4902"
"81.183.253.34","elite","AS5483","HU","Magyar Telekom","34","N/A","4145","socks4","1","36","3081","8535","2024-11-27T19:49:09.165Z","2002"
"147.182.195.54","elite","AS14061","US","DigitalOcean, LLC","148","DigitalOcean, LLC","14075","socks4","1","99","1757","1773","2024-11-27T19:49:09.464Z","4191"
"179.125.172.177","elite","AS28649","BR","Desktop Sigmanet Comunicação Multimídia SA","187","Prefeitura Municipal De Indaiatuba","4153","socks4","1","100","1655","1660","2024-11-27T19:49:09.264Z","498"
